phase,phase_title,type,linked_to_phase2,category,item,linked_category
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"袋が供給されない（給袋ミス）、または複数枚同時に供給される（二枚取り）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"充填重量が設定値から大きく外れる、または計量値が安定しない（バラツキ大）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"【ミシン】 糸が頻繁に切れる、縫い目が飛ぶ（目飛び）、または糸が絡まる（鳥の巣発生）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"【ミシン】 縫い目のピッチが不均一、蛇行する、またはクレープ紙テープが外れる",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"【ヒートシール】 シール部分の接着が弱い・剥がれる（シール不良）、または異物が混入する（噛み込み）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"【ヒートシール】 シール部分が溶けすぎる、シワになる、または穴が開く（オーバーシール）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"袋が搬送中に倒れる、または所定の位置からズレる",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"機械から異音（金属音、打音、きしみ音）、異臭（焦げ臭い匂い、電気的な匂い）、異常な振動が発生する",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,"操作パネルにエラーコードや「モーター過負荷」「センサー未検出」等の警告が表示されている",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,異常検知,その他,
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"直ちに「非常停止ボタン」を押し、機械を停止させる",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"メンテナンス時は、必ず主電源ブレーカーを「OFF」にし、「操作禁止/作業中」の札を掲示する（ロックアウト/タグアウト）",
1,"Phase 1: 異常検知・緊急停止",checklist,FALSE,緊急停止措置,"責任者およびメンテナンス部門に、発生状況、エラー内容、発生箇所を正確に報告する",
